sentence_id,text,source_name,label,label_name,llm_label,llm_rationale,llm_raw,n_retries,parse_failed,latency_sec
7dde2f9f-4063-4efd-bb85-55586fc90c8b,"An ongoing shift of the population toward non-white demographics means that, assuming no change in voting behavior of these various groups, electing Republicans will become harder and harder.",townhall,0,non-biased,biased,Loaded evaluative language: 'harder and harder' implies difficulty is inherent,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'harder and harder' implies difficulty is inherent""}",0,False,21.9
1b8dfddb-d116-40da-bcbe-5a4108a2914e,Winners of moraingy bouts received a cash prize and it offered a way for insecure young people to feel good about themselves using the only things they had: their bodies.,the-guardian,1,biased,biased,Loaded evaluative language: 'insecure young people',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'insecure young people'""}",0,False,5.62
64ded523-9419-4c8f-b321-971664154de4,"But, if you want a super-smart outdoor camera that you can use with your Alexa smart home, this is the way to go.",usa-today,1,biased,biased,Loaded evaluative language: 'super-smart',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'super-smart'""}",0,False,5.42
2cfe8b65-4715-4425-9383-043f6e3aa777,The horrific murders of Israeli civilians by Hamas cannot in any way legitimise Israel’s ongoing war crimes.,the-guardian,1,biased,biased,"Loaded evaluative language: 'horrific', 'war crimes'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'horrific', 'war crimes'""}",0,False,6.17
a901c9a3-052b-4568-b11e-29c0cdd063c3,"Adidas Samba OG Sneaker $100 $100 On the trendier side are Adidas Sambas, which were called out by multiple teens.",new-york-magazine,0,non-biased,biased,"Loaded evaluative language ('trendier side', 'called out')","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('trendier side', 'called out')""}",0,False,6.1
4f90b2f5-7286-4d86-8065-1718e6957be7,"Instead, the activists have largely relied on arguments about rescued animals lacking commercial value, but the drawback of this is that it reifies animals’ property status.",vox,0,non-biased,biased,"Loaded evaluative language ('drawback', 'reifies')","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('drawback', 'reifies')""}",0,False,5.68
784ec731-87f1-4bd7-a6a5-19b7712b30a4,Just about everyone asked to age up in Back to the Future 2.,the-guardian,0,non-biased,biased,Loaded evaluative language ('just about everyone'),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('just about everyone')""}",0,False,5.06
2caade07-a6aa-4cc0-a389-0881a5eca7bf,It is tax cuts that have caused the dramatic increase in primary deficit projections.,alternet,1,biased,biased,Loaded evaluative language and unsupported claim,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and unsupported claim""}",0,False,4.67
a2b7814a-8661-47f9-a82b-5964ee0468ef,"MSNBC host Mehdi Hasan has been one of the strongest critics of Israel in the mainstream media during the ongoing Israel-Hamas war, but it's nothing new for the hard-left anchor who has never been shy about offering strident commentary.",alternet,1,biased,biased,"Loaded evaluative language: 'hard-left', 'strident'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'hard-left', 'strident'""}",0,False,6.14
c4bfa0bb-c2f5-4b22-9678-48f8c86e29dd,"The timeline on which post-traumatic amnesia lasts depends on the person, as it could be anywhere from a few minutes to several weeks or months.",fox-news,0,non-biased,non-biased,Neutral factual language describing a medical condition's variability.,"{""label"": ""non-biased"", ""rationale"": ""Neutral factual language describing a medical condition's variability.""}",0,False,5.89
38229da5-8c98-44c0-bcc8-1642c31cdc44,"Small-cap stocks have been left in the dust by this year's megacap tech rally, but at least one exchange-traded fund of smaller companies is holding its own.",cnbc,0,non-biased,biased,Loaded evaluative language ('left in the dust'),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('left in the dust')""}",0,False,5.32
11b66072-7a9f-43d7-8529-7d671feda74d,"A decent society doesn’t let poorer people fall ever further behind, but that is what we have done.",the-guardian,1,biased,biased,Loaded evaluative language and subjective framing of societal issue,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and subjective framing of societal issue""}",0,False,5.43
82ad42f1-c092-4bb3-aec4-61a171b852d6,"6) Climate change could have a tiny effect on earthquakes In general, scientists haven’t measured any effect on earthquakes from climate change.",vox,0,non-biased,biased,Loaded language ('tiny effect') frames the topic in a negative way.,"{""label"": ""biased"", ""rationale"": ""Loaded language ('tiny effect') frames the topic in a negative way.""}",0,False,6.0
ef89f17a-582e-40bd-bb23-6c43451dff35,"Eventually, the public tired of American gas-guzzling clunkers, no matter what their prestige, and welcomed better built Japanese imports.",american-thinker,1,biased,biased,"Loaded evaluative language ('clunkers', 'better built')","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('clunkers', 'better built')""}",0,False,5.89
